src_ip,src_port,dst_ip,dst_port,num_frames,num_bytes,relative_start,duration
200.218.62.120,52057,97.6.90.28,80,377,567000,0.000000000,14.2952
97.6.90.28,80,200.218.62.120,52057,284,17000,0.000000000,14.2952
